token_symbol,exchange,observation_days,first_date,last_date,is_selected
SNX,okx,180,2026-01-17,2026-07-15,1
SNX,upbit,0,,,0
STRK,binance,180,2026-01-17,2026-07-15,1
STRK,bitget,180,2026-01-16,2026-07-14,1
STRK,bybit,180,2026-01-17,2026-07-15,1
STRK,coinbase,180,2026-01-17,2026-07-15,1
STRK,crypto_com,180,2026-01-17,2026-07-15,1
STRK,gate,180,2026-01-17,2026-07-15,1
STRK,htx,180,2026-01-16,2026-07-14,1
STRK,kraken,180,2026-01-17,2026-07-15,1
STRK,kucoin,180,2026-01-17,2026-07-15,1
STRK,mexc,180,2026-01-17,2026-07-15,1
STRK,okx,180,2026-01-17,2026-07-15,1
STRK,upbit,0,,,0
SUSHI,binance,180,2026-01-17,2026-07-15,1
SUSHI,bitget,180,2026-01-16,2026-07-14,1
SUSHI,bybit,180,2026-01-17,2026-07-15,1
SUSHI,coinbase,180,2026-01-17,2026-07-15,1
SUSHI,crypto_com,180,2026-01-17,2026-07-15,1
SUSHI,gate,180,2026-01-17,2026-07-15,1
SUSHI,htx,180,2026-01-16,2026-07-14,1
SUSHI,kraken,180,2026-01-17,2026-07-15,1
SUSHI,kucoin,180,2026-01-17,2026-07-15,1
SUSHI,mexc,180,2026-01-17,2026-07-15,1
SUSHI,okx,180,2026-01-17,2026-07-15,1
SUSHI,upbit,0,,,0
UNI,binance,180,2026-01-17,2026-07-15,1
UNI,bitget,180,2026-01-16,2026-07-14,1
UNI,bybit,180,2026-01-17,2026-07-15,1
UNI,coinbase,180,2026-01-17,2026-07-15,1
UNI,crypto_com,180,2026-01-17,2026-07-15,1
UNI,gate,180,2026-01-17,2026-07-15,1
UNI,htx,180,2026-01-16,2026-07-14,1
UNI,kraken,180,2026-01-17,2026-07-15,1
UNI,kucoin,180,2026-01-17,2026-07-15,1
UNI,mexc,180,2026-01-17,2026-07-15,1
UNI,okx,180,2026-01-17,2026-07-15,1
UNI,upbit,180,2026-01-17,2026-07-15,1
WLD,binance,180,2026-01-17,2026-07-15,1
WLD,bitget,180,2026-01-16,2026-07-14,1
WLD,bybit,180,2026-01-17,2026-07-15,1
WLD,coinbase,180,2026-01-17,2026-07-15,1
WLD,crypto_com,180,2026-01-17,2026-07-15,1
WLD,gate,180,2026-01-17,2026-07-15,1
WLD,htx,180,2026-01-16,2026-07-14,1
WLD,kraken,180,2026-01-17,2026-07-15,1
WLD,kucoin,180,2026-01-17,2026-07-15,1
WLD,mexc,180,2026-01-17,2026-07-15,1
WLD,okx,180,2026-01-17,2026-07-15,1
WLD,upbit,180,2026-01-17,2026-07-15,1
ZK,binance,180,2026-01-17,2026-07-15,1
ZK,bitget,180,2026-01-16,2026-07-14,1
ZK,bybit,180,2026-01-17,2026-07-15,1
ZK,coinbase,180,2026-01-17,2026-07-15,1
ZK,crypto_com,180,2026-01-17,2026-07-15,1
ZK,gate,180,2026-01-17,2026-07-15,1
ZK,htx,180,2026-01-16,2026-07-14,1
ZK,kraken,180,2026-01-17,2026-07-15,1
ZK,kucoin,180,2026-01-17,2026-07-15,1
ZK,mexc,180,2026-01-17,2026-07-15,1
ZK,okx,180,2026-01-17,2026-07-15,1
ZK,upbit,180,2026-01-17,2026-07-15,1
