date,token_symbol,factor_name,factor_value,lookback_window,factor_data_source,price_usd,cex_volume_usd,dex_volume_usd,dex_share,return_1d,future_return_1d,future_return_3d,future_return_7d
2026-03-29,UNI,MOM_7D_SKIP_1D,-0.029696505353852445,7d_skip_1d,merged_volume_panel,3.355,15521060.985178042,357180.9528846211,0.022494993732801217,-0.008569739952718702,0.037257824143070106,0.06318926974664696,-0.061698956780923964
2026-03-29,UNI,VOL_DIVERGENCE,0.6942157972442521,7d_growth_30d_z,merged_volume_panel,3.355,15521060.985178042,357180.9528846211,0.022494993732801217,-0.008569739952718702,0.037257824143070106,0.06318926974664696,-0.061698956780923964
2026-03-30,AAVE,CEX_VOLUME_CONFIRMED_MOM,0.2669660295597289,7d_price_30d_volume,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
2026-03-30,AAVE,CEX_VOL_GROWTH_7D,-0.5929555701895494,7d_vs_prev_7d,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
2026-03-30,AAVE,CEX_VOL_Z_30D,-2.054575949906586,30d,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
2026-03-30,AAVE,DEX_SHARE,0.017607901805560808,1d,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
2026-03-30,AAVE,DEX_VOL_GROWTH_7D,-0.06718062306898764,7d_vs_prev_7d,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
2026-03-30,AAVE,DEX_VOL_Z_30D,-0.7618742393255143,30d,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
2026-03-30,AAVE,MOM_14D,-0.2334556740837419,14d,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
2026-03-30,AAVE,MOM_30D,-0.1446963764881305,30d,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
